primary_topic,secondary_topic,is_dual,text_input
music streaming,,0,I'm interested in companies focused on music streaming.
genomics,,0,I want to invest in genomics.
solar power,,0,I want to invest in solar power.
gaming,,0,Looking for exposure to gaming.
software,gaming,1,I'm interested in both software and gaming.
fintech,publishing,1,I want exposure to companies in fintech and publishing.
wealth management,,0,Looking for exposure to wealth management.
travel,banking,1,I want exposure to companies in travel and banking.
fitness,,0,I believe fitness will grow significantly.
cryptocurrency,telecommunications,1,Looking to invest in cryptocurrency as well as telecommunications.
social media,,0,I'm interested in companies focused on social media.
genomics,,0,I believe genomics will grow significantly.
software,,0,I believe software will grow significantly.
genomics,,0,I'm interested in companies focused on genomics.
beauty,,0,I'm interested in companies focused on beauty.
software,oil and gas,1,Looking to invest in software as well as oil and gas.
beverage,,0,Looking for exposure to beverage.
investment platforms,,0,I'm passionate about investment platforms and want investment opportunities.
pharmaceuticals,,0,I want to invest in pharmaceuticals.
wind energy,,0,Looking for exposure to wind energy.
food,wellness,1,Looking to invest in food as well as wellness.
automation,,0,I'm passionate about automation and want investment opportunities.
video streaming,,0,I want to invest in video streaming.
semiconductors,broadcasting,1,I believe semiconductors and broadcasting will grow over the next decade.
EV infrastructure,,0,I believe EV infrastructure will grow significantly.
investment platforms,,0,I believe investment platforms will grow significantly.
gaming,,0,I believe gaming will grow significantly.
home goods,lending,1,I believe home goods and lending will grow over the next decade.
wellness,publishing,1,I want exposure to companies in wellness and publishing.
fitness,wealth management,1,I want exposure to companies in fitness and wealth management.
wellness,,0,I'm interested in companies focused on wellness.
social media,,0,I believe social media will grow significantly.
podcasting,,0,I want to invest in podcasting.
retail,,0,I'm passionate about retail and want investment opportunities.
cryptocurrency,,0,Looking for exposure to cryptocurrency.
telecommunications,wellness,1,Looking to invest in telecommunications as well as wellness.
broadcasting,solar power,1,Looking to invest in broadcasting as well as solar power.
wealth management,,0,Looking for exposure to wealth management.
quantum computing,,0,Looking for exposure to quantum computing.
fitness,,0,I believe fitness will grow significantly.
hardware,personal finance,1,I'm interested in both hardware and personal finance.
social media,,0,I believe social media will grow significantly.
datacenters,,0,I believe datacenters will grow significantly.
wealth management,medical devices,1,I'm interested in both wealth management and medical devices.
entertainment,telemedicine,1,Looking to invest in entertainment as well as telemedicine.
healthcare services,,0,I'm interested in companies focused on healthcare services.
insurance,,0,I want to invest in insurance.
insurance,,0,I want to invest in insurance.
semiconductors,,0,Looking for exposure to semiconductors.
entertainment,utilities,1,I want exposure to companies in entertainment and utilities.
utilities,,0,Looking for exposure to utilities.
